Bezeichnung,Aldoc,ALdoA,Ca12,Eno1,Eno2,Gapdh,Hif1,Hk2,LDHA,PDk1,PFKFB3,PFKFB4,PGK1,PK,SORD,CA9,Glut1,Glut3,Creb,Rim
MDA_72h_1_Ko,23,31,7,31,27,14,41,19,27,12,35,50,38,38,33,3,13,33,25,76
MDA_72h_2_Q,985,71,66,87,187,50,76,62,76,57,62,696,93,57,76,459,57,41,66,373
MDA_72h_3_Glc,303,71,76,115,174,57,93,76,87,50,100,400,115,93,115,6,57,66,115,303
MDA_72h_5_Q+Glc,650,44,29,81,107,50,76,41,71,44,44,400,76,54,62,230,41,29,44,162
MDA_72h_1_Ko,50,47,16,33,57,20,,54,41,115,87,81,57,27,31,18,23,41,47,44
MDA_72h_2_Q,1715,93,132,123,174,87,76,100,87,230,76,919,115,100,76,566,71,44,100,528
MDA_72h_3_Glc,162,54,107,123,187,41,54,50,76,87,76,348,93,62,71,6,47,29,81,152
MDA_72h_5_Q+Glc,800,76,87,29,54,50,71,23,62,152,50,492,62,76,54,566,25,13,54,283
MDA_72h_1_Ko,14,54,19,23,19,13,31,33,44,87,81,38,66,25,31,19,13,23,33,31
MDA_72h_2_Q,606,107,187,54,115,57,47,50,93,174,81,1056,107,71,66,800,25,23,76,919
MDA_72h_3_Glc,132,115,246,66,107,23,38,62,107,132,132,606,132,47,107,8,25,31,141,606
MDA_72h_5_Q+Glc,492,87,174,41,71,23,44,38,81,152,54,800,100,38,57,492,20,15,66,246
MDA_72h_1_Ko,50,57,35,31,33,20,47,41,57,115,132,132,81,29,50,22,18,33,62,62
MDA_72h_2_Q,40.61,16.49,11.66,1.36,,,7.18,,,,26.79,61.56,8.84,1.03,1.36,43.53,0.52,0.36,8.84,28.72
MDA_72h_3_Glc,214,132,214,54,107,29,41,54,107,141,152,650,141,38,115,9,27,29,141,492
MDA_72h_5_Q+Glc,492,81,200,41,66,25,41,38,81,152,54,746,100,38,71,696,27,23,81,246
