"";"OLD";"NEW";"take";"Herstellerbezeichnung"
"1";"ANGP";"ANGPTL4";"keep";"Hs01101127_m1"
"2";"CDC25";"CDC25A";"keep";"Hs00947994_m1"
"3";"EGL3";"EGLN3";"keep";"Hs00222966_m1"
"4";"EPH3";"EPHA3";"keep";"Hs00739096_m1"
"5";"GLUT1";"SLC2A1";"keep";"Hs00892681_m1"
"6";"LDHA2";"LDHA2";"out";"Hs03405707_g1"
"7";"LDHA3";"LDHA3";"out";"Hs01378794_g1"
"8";"P4HA";"P4HA1";"kepp";"Hs00914599_m1"
"9";"PPARGC";"PPARGC1B";"keep";"Hs00991676_m1"
"10";"PPIFA4";"PPFIA4";"keep";"Hs00392193_m1"
"11";"TGFBETA 2";"TGFB2";"keep";"Hs00234244_m1"
"12";"VEGF";"VEGFA";"keep";"Hs00900055_m1"
